authors,ratings,comments,processed_comments,final_comments,sentiment_scores,sentiment_label,enhanced_sentiment_scores,enhanced_sentiment_label,is_sarcastic
Poppy L,5.0,best show ever in secondry school it helpped me in soooooo many ways if it wasnt for joey and phoebe i wouldnt have been the same way now i did definitely recommend this show i know fully know most of phoebes songs and even know how to spell her name of by heart i have made friends over thus show and also say most of there quotes in real life i mainly say who of my friend group is which character the way they set the program out is soooo cool and i love all of the actors actresses and feel like i can relate to all of the characters,best show ever in secondry school it helpped me in soooooo many ways if it wasnt for joey and phoebe i wouldnt have be the same way now i do definitely recommend this show i know fully know most of phoebes songs and even know how to spell her name of by heart i have make friends over thus show and also say most of there quote in real life i mainly say who of my friend group be which character the way they set the program out be soooo cool and i love all of the actors actresses and feel like i can relate to all of the character,best show ever secondry school helpped soooooo many ways wasnt joey phoebe wouldnt way definitely recommend show know fully know phoebes songs even know spell name heart make friends thus show also say quote real life mainly say friend group character way set program soooo cool love actors actresses feel like relate character,"{'neg': 0.063, 'neu': 0.653, 'pos': 0.283, 'compound': 0.9445}",positive,"{'neg': 0.063, 'neu': 0.653, 'pos': 0.283, 'compound': 0.9445, 'sarcasm': False}",positive,False
Rimi Sarkar,5.0,best show ever everyone should watch friends  helps you to survive through depression make you laugh even when you dont feel like it something you will watch over and over again and still wont get bored just give it a try everyone and you will fall in love with every individual character and the showthanks to my friend who recommended me to watch the show and even gave me the whole 10 seasons at first i was like what is the craze about this show and i wasnt even sure if ill complete watching 10 seasonsbut damn  after completing season 1 i just got addicted and i never stopped until i was done with all the seasons now its my 4th time watching friends ,best show ever everyone should watch friends help you to survive through depression make you laugh even when you dont feel like it something you will watch over and over again and still wont get bore just give it a try everyone and you will fall in love with every individual character and the showthanks to my friend who recommend me to watch the show and even give me the whole 10 season at first i be like what be the craze about this show and i wasnt even sure if ill complete watch 10 seasonsbut damn after complete season 1 i just get addict and i never stop until i be do with all the season now its my 4th time watch friends,best show ever everyone watch friends help survive depression make laugh even dont feel like something watch still wont get bore give try everyone fall love every individual character showthanks friend recommend watch show even give whole 10 season first like craze show wasnt even sure ill complete watch 10 seasonsbut damn complete season 1 get addict never stop season 4th time watch friends,"{'neg': 0.153, 'neu': 0.496, 'pos': 0.351, 'compound': 0.9606}",positive,"{'neg': 0.153, 'neu': 0.496, 'pos': 0.351, 'compound': 1.0, 'sarcasm': False}",positive,False
Aryan Singh,5.0,"first off when i started watching this sitcom i did put it on a break as it was boring but after watching a million instagram reels i thought to start again from them till now has been a splendid journey i really liked the theme of the show which was that what would happen there will be for each other even in real lives this show tell us the real meaning of friends to support each other in time of crisis people who dont like this sitcom its okay because comedy is subjective i read some reviews where someone wrote that it was very wrong of phoebe to mug ross in his teen but have they realised that she lived on streets so she did it to mainly feed her hunger but later when she knows she asked for an apology from ross
its too much but it was as great show and í enjoyed it ",first off when i start watch this sitcom i do put it on a break as it be bore but after watch a million instagram reel i think to start again from them till now have be a splendid journey i really like the theme of the show which be that what would happen there will be for each other even in real live this show tell us the real mean of friends to support each other in time of crisis people who dont like this sitcom its okay because comedy be subjective i read some review where someone write that it be very wrong of phoebe to mug ross in his teen but have they realise that she live on streets so she do it to mainly fee her hunger but later when she know she ask for an apology from ross its too much but it be as great show and í enjoy it,first start watch sitcom put break bore watch million instagram reel think start till splendid journey really like theme show would happen even real live show tell us real mean friends support time crisis people dont like sitcom okay comedy subjective read review someone write wrong phoebe mug ross teen realise live streets mainly fee hunger later know ask apology ross much great show í enjoy,"{'neg': 0.143, 'neu': 0.566, 'pos': 0.291, 'compound': 0.9234}",positive,"{'neg': 0.143, 'neu': 0.566, 'pos': 0.291, 'compound': 0.9234, 'sarcasm': False}",positive,False
Keyanna Arora,5.0,the best sitcom everrr okay i get it 10 seasons are a lot in but in friends i want some more i cant believe it i finished them all in 1 month my friend was addicted to it and kept saying that watch it i finally gave it a shot and i couldnt like it more all of the actors and the actresses acted really well and were perfect for this series and especially my favorite actors and actresses were so 1st goes to lisa kudrow phoebe buffay and second goes to matthew perry chandler bing and third of course matt leblanc joey tribbiani and all the rest were perfect too and i loved them all but these 3 really inspired to be cool funny cute and especially of course funny and cool so keep it up love you all,the best sitcom everrr okay i get it 10 season be a lot in but in friends i want some more i cant believe it i finish them all in 1 month my friend be addict to it and keep say that watch it i finally give it a shoot and i couldnt like it more all of the actors and the actresses act really well and be perfect for this series and especially my favorite actors and actresses be so 1st go to lisa kudrow phoebe buffay and second go to matthew perry chandler bing and third of course matt leblanc joey tribbiani and all the rest be perfect too and i love them all but these 3 really inspire to be cool funny cute and especially of course funny and cool so keep it up love you all,best sitcom everrr okay get 10 season lot friends want cant believe finish 1 month friend addict keep say watch finally give shoot couldnt like actors actresses act really well perfect series especially favorite actors actresses 1st go lisa kudrow phoebe buffay second go matthew perry chandler bing third course matt leblanc joey tribbiani rest perfect love 3 really inspire cool funny cute especially course funny cool keep love,"{'neg': 0.042, 'neu': 0.45, 'pos': 0.508, 'compound': 0.9938}",positive,"{'neg': 0.042, 'neu': 0.45, 'pos': 0.508, 'compound': 0.9938, 'sarcasm': False}",positive,False
Tadiwa “TBK” Kasinganeti,5.0,friends is a show that i never had an interest in seeing when i was younger i thought it was overrated and i thought the name was so vague but now im older and i watched itone of the best decisions of my life love this show so much its funny clever and the cast has amazing chemistry it has so many iconic episodes and some top tier humor even without the laughter track id die laughing even though season 8 to 10 are a little weaker than the rest theyre sooo much better than most shows of today theyre still very rewatchable and the finale is everything also janice is my favorite running gag lol  oh my god 10 out of 10 my favourite show of all time,friends be a show that i never have an interest in see when i be younger i think it be overrate and i think the name be so vague but now im older and i watch itone of the best decisions of my life love this show so much its funny clever and the cast have amaze chemistry it have so many iconic episodes and some top tier humor even without the laughter track id die laugh even though season 8 to 10 be a little weaker than the rest theyre sooo much better than most show of today theyre still very rewatchable and the finale be everything also janice be my favorite run gag lol oh my god 10 out of 10 my favourite show of all time,friends show never interest see younger think overrate think name vague im older watch itone best decisions life love show much funny clever cast amaze chemistry many iconic episodes top tier humor even without laughter track id die laugh even though season 8 10 little weaker rest theyre sooo much better show today theyre still rewatchable finale everything also janice favorite run gag lol oh god 10 10 favourite show time,"{'neg': 0.146, 'neu': 0.483, 'pos': 0.371, 'compound': 0.9744}",positive,"{'neg': 0.146, 'neu': 0.483, 'pos': 0.371, 'compound': 1.0, 'sarcasm': False}",positive,False
TV Critics,5.0,"this is my favorite show everrrr 

seriously friends is by far my favorite sitcom its so beautifully written and all the actors have done an amazing job with their characters all of them are consistently funny this show balances well the comedy and the emotional moments very well 

it represents a group of people who love each other and are there for each other at all times and they forgive each others mistakes no matter what and thats a really beautiful thing 

chandler remains funny throughout monica remains nice and beautiful and her personality is charming rachel becomes funnier as the seasons go and i loved watching her character growth pheobe remains one of the funniest friends and shes charming and joey is so sweet an kind all six bring something special to the table and i love it so much",this be my favorite show everrrr seriously friends be by far my favorite sitcom its so beautifully write and all the actors have do an amaze job with their character all of them be consistently funny this show balance well the comedy and the emotional moments very well it represent a group of people who love each other and be there for each other at all time and they forgive each others mistake no matter what and thats a really beautiful thing chandler remain funny throughout monica remain nice and beautiful and her personality be charm rachel become funnier as the season go and i love watch her character growth pheobe remain one of the funniest friends and shes charm and joey be so sweet an kind all six bring something special to the table and i love it so much,favorite show everrrr seriously friends far favorite sitcom beautifully write actors amaze job character consistently funny show balance well comedy emotional moments well represent group people love time forgive others mistake matter thats really beautiful thing chandler remain funny throughout monica remain nice beautiful personality charm rachel become funnier season go love watch character growth pheobe remain one funniest friends shes charm joey sweet kind six bring something special table love much,"{'neg': 0.032, 'neu': 0.323, 'pos': 0.645, 'compound': 0.9974}",positive,"{'neg': 0.032, 'neu': 0.323, 'pos': 0.645, 'compound': 0.9974, 'sarcasm': False}",positive,False
Shravan Vallaban,5.0,"this is by far the best sitcom i have ever watched having watched other immensely successful sitcoms like the office i would ascertain the character development in friends is incredible most of the characters except rachel by the end of the show did not change their nature from what it was at the beginning of the show there were too many moments that were emotionally connected to me and thats where david and marta kaufmann have played their part monica has this finicky character which some of the audience might not like but her other aspects more than make for it 

initially chandlers character looked the most comical during the first two seasons but after that joeys character stood out to best in the series throwing up with instantaneous jokes that would tickle most of the bones in our body

the scene where joey is asked to describe the relationship between monica and chandler and add something about love he consciously uses alliteration with lovingsharinggivingtaking even after he inadvertently uses a better description of how they meant to him that is the best scene of the series

go check out the tidbits from imdb which are interesting but dont read them before you watch the show as they contain spoilers",this be by far the best sitcom i have ever watch have watch other immensely successful sitcoms like the office i would ascertain the character development in friends be incredible most of the character except rachel by the end of the show do not change their nature from what it be at the begin of the show there be too many moments that be emotionally connect to me and thats where david and marta kaufmann have play their part monica have this finicky character which some of the audience might not like but her other aspects more than make for it initially chandlers character look the most comical during the first two season but after that joeys character stand out to best in the series throw up with instantaneous joke that would tickle most of the bone in our body the scene where joey be ask to describe the relationship between monica and chandler and add something about love he consciously use alliteration with lovingsharinggivingtaking even after he inadvertently use a better description of how they mean to him that be the best scene of the series go check out the tidbits from imdb which be interest but dont read them before you watch the show as they contain spoilers,far best sitcom ever watch watch immensely successful sitcoms like office would ascertain character development friends incredible character except rachel end show change nature begin show many moments emotionally connect thats david marta kaufmann play part monica finicky character audience might like aspects make initially chandlers character look comical first two season joeys character stand best series throw instantaneous joke would tickle bone body scene joey ask describe relationship monica chandler add something love consciously use alliteration lovingsharinggivingtaking even inadvertently use better description mean best scene series go check tidbits imdb interest dont read watch show contain spoilers,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.99}",positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.99, 'sarcasm': False}",positive,False
Soumya Jain,5.0,what do i think seriously oh my god ohk not janice but can any series get any betternah huh dont even think about it chandlers spontaneous sarcasm will kill any such thoughts oh no no killing cause phoebes patrollingbutu know i dont know i know what i should knowohhh phoebeoh this bouncer i had to rewatch it over and over again finally here i am knowing after all  but i am fine fine like ross series ended atleast ross and rachel made it together looks like i need some how you doing to get over the series nah huh not joeys way though maybe i should just fill my fridge and later partying in expensive chinese plates but gotta be careful handling them maybe i should just put some of this in stack pile up and colour code not as organized as monica i guess but i am not gonna exchange this series just the wisdom of series perhaps oh yeah so like rachel anyways i have never enjoyed any series as much as i have this its just so entertaining i swear its a mood refresher just like sleep ohk monica geller heres what i need weirdo wisdomis baked with pushover fashionista boiled with uncontrollable sarcasm with a peck of sweet dinosaur mannersims garnished with dimwitted charishmas and spiced with organized foodie ohk this series should never end thats it no more whining from me thanx to friends and please after you watch it dont come back to me and say i cant just hungover it i cant get it enough cause nobody who watches friends can ever get enough of it yup you are doomed for life enjoy,what do i think seriously oh my god ohk not janice but can any series get any betternah huh dont even think about it chandlers spontaneous sarcasm will kill any such thoughts oh no no kill cause phoebes patrollingbutu know i dont know i know what i should knowohhh phoebeoh this bouncer i have to rewatch it over and over again finally here i be know after all but i be fine fine like ross series end atleast ross and rachel make it together look like i need some how you do to get over the series nah huh not joeys way though maybe i should just fill my fridge and later party in expensive chinese plat but get ta be careful handle them maybe i should just put some of this in stack pile up and colour code not as organize as monica i guess but i be not gon na exchange this series just the wisdom of series perhaps oh yeah so like rachel anyways i have never enjoy any series as much as i have this its just so entertain i swear its a mood refresher just like sleep ohk monica geller heres what i need weirdo wisdomis bake with pushover fashionista boil with uncontrollable sarcasm with a peck of sweet dinosaur mannersims garnish with dimwitted charishmas and spice with organize foodie ohk this series should never end thats it no more whine from me thanx to friends and please after you watch it dont come back to me and say i cant just hungover it i cant get it enough cause nobody who watch friends can ever get enough of it yup you be doom for life enjoy,think seriously oh god ohk janice series get betternah huh dont even think chandlers spontaneous sarcasm kill thoughts oh kill cause phoebes patrollingbutu know dont know know knowohhh phoebeoh bouncer rewatch finally know fine fine like ross series end atleast ross rachel make together look like need get series nah huh joeys way though maybe fill fridge later party expensive chinese plat get ta careful handle maybe put stack pile colour code organize monica guess gon na exchange series wisdom series perhaps oh yeah like rachel anyways never enjoy series much entertain swear mood refresher like sleep ohk monica geller heres need weirdo wisdomis bake pushover fashionista boil uncontrollable sarcasm peck sweet dinosaur mannersims garnish dimwitted charishmas spice organize foodie ohk series never end thats whine thanx friends please watch dont come back say cant hungover cant get enough cause nobody watch friends ever get enough yup doom life enjoy,"{'neg': 0.159, 'neu': 0.626, 'pos': 0.215, 'compound': 0.8296}",positive,"{'neg': 0.159, 'neu': 0.626, 'pos': 0.215, 'compound': 0.8296, 'sarcasm': False}",positive,False
Cheshta Malik,5.0,"must watch friends is family i cant even put in words how much i am attached to this sitcom this is just a pure and funny moment the six friends experience in new york as youll go through this story youll feel as if youre a part of their friend group this gives us a feeling of emotional attachment and comfort as i had heard many people say that this show become your comfort how i completely agree the sense of relaxation this gives me is just undefined i remember myself crying my eyes out when it ended because i has seen it all and the next moment i had a big smile ofcourse i had started this show again you are not going to regret the time you put on this show trust me go for it
the best part about it is that it does not show any typical filmy plot the entire story is filled with realism and is easy to relate to comfort i told you it shows both the ups and downs of all the characters and how they get through with this anyways ill go and replay it bye",must watch friends be family i cant even put in word how much i be attach to this sitcom this be just a pure and funny moment the six friends experience in new york as youll go through this story youll feel as if youre a part of their friend group this give us a feel of emotional attachment and comfort as i have hear many people say that this show become your comfort how i completely agree the sense of relaxation this give me be just undefined i remember myself cry my eye out when it end because i have see it all and the next moment i have a big smile ofcourse i have start this show again you be not go to regret the time you put on this show trust me go for it the best part about it be that it do not show any typical filmy plot the entire story be fill with realism and be easy to relate to comfort i tell you it show both the up and down of all the character and how they get through with this anyways ill go and replay it bye,must watch friends family cant even put word much attach sitcom pure funny moment six friends experience new york youll go story youll feel youre part friend group give us feel emotional attachment comfort hear many people say show become comfort completely agree sense relaxation give undefined remember cry eye end see next moment big smile ofcourse start show go regret time put show trust go best part show typical filmy plot entire story fill realism easy relate comfort tell show character get anyways ill go replay bye,"{'neg': 0.072, 'neu': 0.575, 'pos': 0.353, 'compound': 0.9852}",positive,"{'neg': 0.072, 'neu': 0.575, 'pos': 0.353, 'compound': 0.9852, 'sarcasm': False}",positive,False
Mita Barman Mandal,5.0,today just at this moment i finished friends and i feel so sad that i have to say goodbye to all of them its been almost a one year journey a great journey and i am happy how things ended up but i am little sad for joey tho but i hope he will also find a good ending  i am so so grateful to the whole crew of friends for providing us with these amazing series its just like i was living with them and been sharing all their happiness sadness  faced all these ups and downs together but so you know i dont think any series will make you  feel like a family  u guys might have heard the saying  there is friends there is family and then there are friends that become family its totally like that just as u know friends started with rachel having issues with family and these guys welcomed her chandler already was friends with them and monica welcomed him in her life phoebe was the craziest person i have ever seen they still loved her and her craziness i mean who does that for a friend but they accepted her and welcomed her see that makes them a complete family  goodbye,today just at this moment i finish friends and i feel so sad that i have to say goodbye to all of them its be almost a one year journey a great journey and i be happy how things end up but i be little sad for joey tho but i hope he will also find a good end i be so so grateful to the whole crew of friends for provide us with these amaze series its just like i be live with them and be share all their happiness sadness face all these up and down together but so you know i dont think any series will make you feel like a family u guy might have hear the say there be friends there be family and then there be friends that become family its totally like that just as u know friends start with rachel have issue with family and these guy welcome her chandler already be friends with them and monica welcome him in her life phoebe be the craziest person i have ever see they still love her and her craziness i mean who do that for a friend but they accept her and welcome her see that make them a complete family goodbye,today moment finish friends feel sad say goodbye almost one year journey great journey happy things end little sad joey tho hope also find good end grateful whole crew friends provide us amaze series like live share happiness sadness face together know dont think series make feel like family u guy might hear say friends family friends become family totally like u know friends start rachel issue family guy welcome chandler already friends monica welcome life phoebe craziest person ever see still love craziness mean friend accept welcome see make complete family goodbye,"{'neg': 0.088, 'neu': 0.429, 'pos': 0.483, 'compound': 0.9954}",positive,"{'neg': 0.088, 'neu': 0.429, 'pos': 0.483, 'compound': 0.9954, 'sarcasm': False}",positive,False
V S,5.0,a must watch for every generation it gives you hope it makes you feel belonged it takes away your anxiety and fears and finally brings you home friends is a statement in sitcoms for many many years to come the 100 billion reruns across the globe speaks volumes how wellcrafted this series is you just cant get enough and would never want to watch the last episode it makes you feel loved cared and happy it came out in 1994 and ended in 2004 but after 29 years it is still fresh amazing and true to heart a heartfelt thank you to the creators for this amazing gift that makes you smile at the end of a hard day after work it brings back your positive energy and makes you keep moving forward in life it is going to stay long after we are gone what an amazing cast who are masters of physical comedy grew up with it as a teenager and still loving it as an adult friends is home best thing to watch whenever you feel alone and down our friends forever,a must watch for every generation it give you hope it make you feel belong it take away your anxiety and fear and finally bring you home friends be a statement in sitcoms for many many years to come the 100 billion rerun across the globe speak volumes how wellcrafted this series be you just cant get enough and would never want to watch the last episode it make you feel love care and happy it come out in 1994 and end in 2004 but after 29 years it be still fresh amaze and true to heart a heartfelt thank you to the creators for this amaze gift that make you smile at the end of a hard day after work it bring back your positive energy and make you keep move forward in life it be go to stay long after we be go what an amaze cast who be master of physical comedy grow up with it as a teenager and still love it as an adult friends be home best thing to watch whenever you feel alone and down our friends forever,must watch every generation give hope make feel belong take away anxiety fear finally bring home friends statement sitcoms many many years come 100 billion rerun across globe speak volumes wellcrafted series cant get enough would never want watch last episode make feel love care happy come 1994 end 2004 29 years still fresh amaze true heart heartfelt thank creators amaze gift make smile end hard day work bring back positive energy make keep move forward life go stay long go amaze cast master physical comedy grow teenager still love adult friends home best thing watch whenever feel alone friends forever,"{'neg': 0.063, 'neu': 0.495, 'pos': 0.442, 'compound': 0.9956}",positive,"{'neg': 0.063, 'neu': 0.495, 'pos': 0.442, 'compound': 1.0, 'sarcasm': False}",positive,False
Shady Z,5.0,i guess there are probably obvious reasons to make this masterpiece the best comedy in the history were looking at one of the best character developments which is a great element on the show for making us connect with each character as good as possible the comedy  humor and sarcastic dialogues of each scene makes you laugh even if the lines are not funny enough to make you laugh the act and vibe of the show gonna make you do that and there is no way to escape from that there is like everything on friends you gonna laugh with it you gonna cry with it  you gonna live with it for a while and that period of your life will always be a memorable one and youll be proud of yourself cause of the favor which you did to yourself by watching this tv show if someone asks me to describe friends in one sentence im gonna say a perfect and complete tv show that has reached to its goal of making people laugh,i guess there be probably obvious reason to make this masterpiece the best comedy in the history be look at one of the best character developments which be a great element on the show for make us connect with each character as good as possible the comedy humor and sarcastic dialogues of each scene make you laugh even if the line be not funny enough to make you laugh the act and vibe of the show gon na make you do that and there be no way to escape from that there be like everything on friends you gon na laugh with it you gon na cry with it you gon na live with it for a while and that period of your life will always be a memorable one and youll be proud of yourself cause of the favor which you do to yourself by watch this tv show if someone ask me to describe friends in one sentence im gon na say a perfect and complete tv show that have reach to its goal of make people laugh,guess probably obvious reason make masterpiece best comedy history look one best character developments great element show make us connect character good possible comedy humor sarcastic dialogues scene make laugh even line funny enough make laugh act vibe show gon na make way escape like everything friends gon na laugh gon na cry gon na live period life always memorable one youll proud cause favor watch tv show someone ask describe friends one sentence im gon na say perfect complete tv show reach goal make people laugh,"{'neg': 0.038, 'neu': 0.469, 'pos': 0.493, 'compound': 0.9956}",positive,"{'neg': 0.038, 'neu': 0.469, 'pos': 0.493, 'compound': 1.0, 'sarcasm': False}",positive,False
Ava Converse,5.0,"omg i cannot tell you a time where i wasnt watching friends its the best tv show out there even if it is from the 90s i have seen every episode a billion times and i cant get enough i love love love the show sooooo much 

ross is so funny and he is so protective over monica its sweet like at monica and chandlers wedding when chandler ran away ross tackled him because he though he was leaving again i love the way that ross has loved rachel since they were in high school and now here they are almost 30 and he still loves her

monica is so sweet i love the fact that she has a specific way of cleaning and everything has to be done her way i love monica she is so beautiful and bossy if i ever met monica geller i would want to taste all of her food

all of the characters are amazing",omg i can not tell you a time where i wasnt watch friends its the best tv show out there even if it be from the 90s i have see every episode a billion time and i cant get enough i love love love the show sooooo much ross be so funny and he be so protective over monica its sweet like at monica and chandlers wed when chandler run away ross tackle him because he though he be leave again i love the way that ross have love rachel since they be in high school and now here they be almost 30 and he still love her monica be so sweet i love the fact that she have a specific way of clean and everything have to be do her way i love monica she be so beautiful and bossy if i ever meet monica geller i would want to taste all of her food all of the character be amaze,omg tell time wasnt watch friends best tv show even 90s see every episode billion time cant get enough love love love show sooooo much ross funny protective monica sweet like monica chandlers wed chandler run away ross tackle though leave love way ross love rachel since high school almost 30 still love monica sweet love fact specific way clean everything way love monica beautiful bossy ever meet monica geller would want taste food character amaze,"{'neg': 0.299, 'neu': 0.501, 'pos': 0.2, 'compound': -0.9055}",negative,"{'neg': 0.299, 'neu': 0.501, 'pos': 0.2, 'compound': -0.7055, 'sarcasm': False}",negative,False
lol listen to joji now,5.0,"dont get me started on how perfect this freaking sitcom is it is absolutely wonderful flawless and outstanding i have watched this show for years now binge watch after binge watch and i just cannot get enough of it it has a perfect combination of it being funny emotional romantic and comforting not going to lie i can usually choose my favourite characters in particular things but with friends i just cannot

i love how they have different things about them monicas loving sassy and funny temperament chandlers hilarious sarcastic ways and sayings rachels passion beauty and comical ways phoebes interesting amusing and love ross crazy funny loving attitude and finally joey joey joey there are no words to describe how amazing he is i just love how through all their time together they stick by and love each other by being always there for one another i love each relationship these friends have with each other",dont get me start on how perfect this freak sitcom be it be absolutely wonderful flawless and outstanding i have watch this show for years now binge watch after binge watch and i just can not get enough of it it have a perfect combination of it be funny emotional romantic and comfort not go to lie i can usually choose my favourite character in particular things but with friends i just can not i love how they have different things about them monicas love sassy and funny temperament chandlers hilarious sarcastic ways and say rachels passion beauty and comical ways phoebes interest amuse and love ross crazy funny love attitude and finally joey joey joey there be no word to describe how amaze he be i just love how through all their time together they stick by and love each other by be always there for one another i love each relationship these friends have with each other,dont get start perfect freak sitcom absolutely wonderful flawless outstanding watch show years binge watch binge watch get enough perfect combination funny emotional romantic comfort go lie usually choose favourite character particular things friends love different things monicas love sassy funny temperament chandlers hilarious sarcastic ways say rachels passion beauty comical ways phoebes interest amuse love ross crazy funny love attitude finally joey joey joey word describe amaze love time together stick love always one another love relationship friends,"{'neg': 0.092, 'neu': 0.345, 'pos': 0.563, 'compound': 0.9969}",positive,"{'neg': 0.092, 'neu': 0.345, 'pos': 0.563, 'compound': 0.9969, 'sarcasm': False}",positive,False
SANA HAJARE,5.0,"friends the timeless comedy classic
friends is more than just a sitcom its a cultural phenomenon that has captured the hearts of millions worldwide this iconic series follows the lives of six friends navigating love careers and lifes challenges in the bustling city of new york
the shows enduring appeal lies in its relatable characters witty humor and heartwarming moments from the neurotic perfectionist monica to the laidback and lovable joey each character is uniquely endearing and brings their own flavor to the dynamic group the chemistry among the cast members is undeniable making their interactions feel genuine and authentic
while some episodes may have aged better than others the core of the show remains timeless its exploration of friendship love and personal growth resonates with audiences of all ages whether its the iconic coffee shop banter the unforgettable catchphrases or the heartwarming storylines friends has something to offer everyone
its no wonder that the show continues to be enjoyed by new generations proving that its impact on popular culture is undeniable",friends the timeless comedy classic friends be more than just a sitcom its a cultural phenomenon that have capture the hearts of millions worldwide this iconic series follow the live of six friends navigate love career and lifes challenge in the bustle city of new york the show endure appeal lie in its relatable character witty humor and heartwarming moments from the neurotic perfectionist monica to the laidback and lovable joey each character be uniquely endear and bring their own flavor to the dynamic group the chemistry among the cast members be undeniable make their interactions feel genuine and authentic while some episodes may have age better than others the core of the show remain timeless its exploration of friendship love and personal growth resonate with audiences of all age whether its the iconic coffee shop banter the unforgettable catchphrases or the heartwarming storylines friends have something to offer everyone its no wonder that the show continue to be enjoy by new generations prove that its impact on popular culture be undeniable,friends timeless comedy classic friends sitcom cultural phenomenon capture hearts millions worldwide iconic series follow live six friends navigate love career lifes challenge bustle city new york show endure appeal lie relatable character witty humor heartwarming moments neurotic perfectionist monica laidback lovable joey character uniquely endear bring flavor dynamic group chemistry among cast members undeniable make interactions feel genuine authentic episodes may age better others core show remain timeless exploration friendship love personal growth resonate audiences age whether iconic coffee shop banter unforgettable catchphrases heartwarming storylines friends something offer everyone wonder show continue enjoy new generations prove impact popular culture undeniable,"{'neg': 0.017, 'neu': 0.559, 'pos': 0.424, 'compound': 0.9947}",positive,"{'neg': 0.017, 'neu': 0.559, 'pos': 0.424, 'compound': 1.0, 'sarcasm': False}",positive,False
Danish Javed,5.0,"hi there

im from pakistan and have watched tons of series but friends holds a special place in my heart its hard to believe it has come to an endjust thinking about it makes me a bit sad

whenever im feeling bored i love to dive back into friends it always lifts my spirits the funny thing is i find myself watching it slowly because i just dont want it to end thats what makes it so special to me the final scene where everyone leaves the keys in monicas apartment really got to me i wish it could go on forever

i absolutely adore all the characters but i have a soft spot for matthew chandler and like joey i cant stand being hungryi just love to eat each character is so amazing in their own way honestly i could talk about this series all day long i wish i could meet any character in real life though i never thought to meet any celebrity before one line phoebe buffey youre amazing ross and rachel love face difficulties monica a bond between all friends 

its truly a legendary piece of television",hi there im from pakistan and have watch tons of series but friends hold a special place in my heart its hard to believe it have come to an endjust think about it make me a bite sad whenever im feel bore i love to dive back into friends it always lift my spirit the funny thing be i find myself watch it slowly because i just dont want it to end thats what make it so special to me the final scene where everyone leave the key in monicas apartment really get to me i wish it could go on forever i absolutely adore all the character but i have a soft spot for matthew chandler and like joey i cant stand be hungryi just love to eat each character be so amaze in their own way honestly i could talk about this series all day long i wish i could meet any character in real life though i never think to meet any celebrity before one line phoebe buffey youre amaze ross and rachel love face difficulties monica a bond between all friends its truly a legendary piece of television,hi im pakistan watch tons series friends hold special place heart hard believe come endjust think make bite sad whenever im feel bore love dive back friends always lift spirit funny thing find watch slowly dont want end thats make special final scene everyone leave key monicas apartment really get wish could go forever absolutely adore character soft spot matthew chandler like joey cant stand hungryi love eat character amaze way honestly could talk series day long wish could meet character real life though never think meet celebrity one line phoebe buffey youre amaze ross rachel love face difficulties monica bond friends truly legendary piece television,"{'neg': 0.074, 'neu': 0.546, 'pos': 0.38, 'compound': 0.9936}",positive,"{'neg': 0.074, 'neu': 0.546, 'pos': 0.38, 'compound': 1.0, 'sarcasm': False}",positive,False
celia garcia,5.0,"though the format was scripted  conversations were candid and spontaneous  the actors did not disappoint all 6 of them seemed true to characters they played but they also exuded real personal affection for each other some of the scripted parts seemed forced like the fashion walk or popups with celebrities unrelated to the original program and only diminished the time devoted the main actors but overall it was a poignant get together
it was a reunion as emotional to me and other avid fans as it probably was to the actors who were just like our long missed friends we knew people in that show for ten years laughed and cried with them loved  and hoped with them and for 30 minutes a night in each of the 52 weeks of those years lived their stories with them thank you to rachel and ross and monica and chandler and phoebe and joey and everybody in the show who created the collective experience with us viewers and shared those sweet moments in life we would always carry in us",though the format be script conversations be candid and spontaneous the actors do not disappoint all 6 of them seem true to character they play but they also exude real personal affection for each other some of the script part seem force like the fashion walk or popups with celebrities unrelated to the original program and only diminish the time devote the main actors but overall it be a poignant get together it be a reunion as emotional to me and other avid fan as it probably be to the actors who be just like our long miss friends we know people in that show for ten years laugh and cry with them love and hop with them and for 30 minutes a night in each of the 52 weeks of those years live their stories with them thank you to rachel and ross and monica and chandler and phoebe and joey and everybody in the show who create the collective experience with us viewers and share those sweet moments in life we would always carry in us,though format script conversations candid spontaneous actors disappoint 6 seem true character play also exude real personal affection script part seem force like fashion walk popups celebrities unrelated original program diminish time devote main actors overall poignant get together reunion emotional avid fan probably actors like long miss friends know people show ten years laugh cry love hop 30 minutes night 52 weeks years live stories thank rachel ross monica chandler phoebe joey everybody show create collective experience us viewers share sweet moments life would always carry us,"{'neg': 0.062, 'neu': 0.561, 'pos': 0.377, 'compound': 0.9869}",positive,"{'neg': 0.062, 'neu': 0.561, 'pos': 0.377, 'compound': 1.0, 'sarcasm': False}",positive,False
